,name,price_in_NGN,country,mileage_in_km
160,Lexus GX 470 Sport Utility 2006 Blue,"3,255,000",Nigerian Used,130145
161,Lexus RX 330 2004 Silver,"3,150,000",Nigerian Used,140740
162,Lexus IS 2007,"3,497,500",75478 km,n/a
163,Lexus RX 2017 350 F Sport FWD White,"23,920,000",Foreign Used,26250
164,Lexus GX 2006 470 Sport Utility Gold,"4,160,000",Nigerian Used,210014
165,Lexus GX 470 Sport Utility 2006 Blue,"3,255,000",Nigerian Used,130145
166,Lexus IS 2008 White,"3,640,000",Nigerian Used,365794
167,Lexus ES 300 2003 Silver,"2,600,000",Nigerian Used,207556
168,Lexus RX 330 2004 Silver,"3,150,000",Nigerian Used,140740
169,Lexus RX 2010 Gray,"6,760,000",Nigerian Used,215411
170,Lexus GX 2010 Black,"12,500,000",Nigerian Used,75873
171,Lexus GX 460 Luxury 2015 Black,"15,750,000",Nigerian Used,61172
172,Lexus RX 350 2009 Silver,"6,448,000",Foreign Used,95321
173,Lexus ES 2008 Gray,"3,045,000",Nigerian Used,243860
174,Lexus IS 2019 black,"16,810,000",12915 km,n/a
175,Lexus RX 2006 330 AWD Green,"3,360,000",Nigerian Used,172079
176,Lexus GS 2006 black,"3,370,000",160620 km,n/a
177,Lexus IS 2012 Blue,"4,200,000",Nigerian Used,96283
178,Lexus ES 2007 Silver,"5,720,000",Nigerian Used,138763
179,Lexus IS 2007 Black,"4,576,000",Foreign Used,203757
180,Lexus RX 330 2005 Gray,"3,328,000",Nigerian Used,156418
181,Lexus IS 2006 Silver,"4,992,000",Foreign Used,110422
182,Lexus ES 350 2009 Black,"3,536,000",Nigerian Used,91745
183,Lexus ES 2008 Gray,"3,045,000",Nigerian Used,243860
184,Lexus GS 2006 black,"3,370,000",160620 km,n/a
185,Lexus GS 2006 black,"3,620,000",147574 km,n/a
186,Lexus ES 2003 white,"1,914,000",112762 km,n/a
187,Lexus ES 2009 Silver,"3,360,000",Nigerian Used,131282
188,Lexus IS 2006 Black,"3,095,000",Nigerian Used,81045
189,Lexus RX 2005 Black,"3,536,000",Nigerian Used,211866
190,Lexus RX 2010 Gray,"6,760,000",Nigerian Used,215411
191,Lexus RX 350 2017 Gray,"26,000,000",Foreign Used,68077
192,Lexus GX 470 2003 Gray,"3,675,000",Nigerian Used,299647
193,Lexus RX 350 2013 Black,"9,450,000",Foreign Used,172441
194,Lexus GX 460 Luxury 2015 Black,"23,920,000",Nigerian Used,49034
195,Lexus IS 250 AWD 2006 Black,"4,160,000",Nigerian Used,160209
196,Lexus IS 2007 White,"4,160,000",Foreign Used,95376
197,Lexus ES 2012 Black,"7,072,000",Foreign Used,135295
198,Lexus IS 250 2008 Red,"3,727,500",Foreign Used,101541
199,Lexus ES 350 FWD 2014 Black,"9,240,000",Foreign Used,72352
200,Lexus GS 2008 350 Black,"3,432,000",Nigerian Used,86824
201,Lexus IS 2019 black,"16,810,000",12915 km,n/a
202,Lexus ES 2007 black,"3,594,000",213362 km,n/a
203,Lexus GX 460 2011 Black,"15,600,000",Nigerian Used,196286
204,Lexus LS 2007 Black,"5,720,000",Foreign Used,171869
205,Lexus IS 250 AWD 2006 Gold,"3,328,000",Nigerian Used,69785
206,Lexus ES 2008 Silver,"3,885,000",Foreign Used,85901
207,Lexus IS 2014 Red,"9,450,000",Foreign Used,153722
208,Lexus ES 2005 330 Blue,"3,150,000",Foreign Used,124007
209,Lexus IS 2006 Silver,"4,160,000",Nigerian Used,103797
210,Lexus GX 2005 470 Sport Utility Silver,"4,160,000",Nigerian Used,67744
211,Lexus RX 2018 Blue,"21,000,000",Foreign Used,53288
212,Lexus IS 250 2008 Red,"3,727,500",Foreign Used,101541
213,Lexus GX 2008 Red,"4,725,000",Nigerian Used,162262
214,Lexus ES 2005 330 Blue,"3,150,000",Foreign Used,124007
215,Lexus LS 2007 Black,"5,720,000",Foreign Used,171869
216,Lexus RX 350 2014 Black,"15,600,000",Foreign Used,68276
217,Lexus ES 2005 silver,"3,818,000",167583 km,n/a
218,Lexus RX 2010 Blue,"8,610,000",Foreign Used,135819
219,Lexus GX 2004 470 Black,"4,680,000",Nigerian Used,98430
220,Lexus ES 2010 350 Silver,"4,784,000",Nigerian Used,140073
221,Lexus RX 330 2004 Black,"3,640,000",Nigerian Used,229786
222,Lexus ES 2008 Black,"3,360,000",Nigerian Used,120028
223,Lexus RX 350 2017 Gray,"26,000,000",Foreign Used,68077
224,Lexus RX 330 4WD 2005 Matt Black,"3,360,000",Nigerian Used,109691
225,Lexus ES 2008 350 Gray,"4,680,000",Foreign Used,200262
226,Lexus LX 2016 Black,"42,000,000",Nigerian Used,107355
227,Lexus RX 2015 350 AWD Gold,"9,450,000",Nigerian Used,88745
228,Lexus RX 2004 Black,"5,408,000",Foreign Used,158812
229,Lexus RX 2007 350 Gray,"3,650,000",Nigerian Used,177336
230,Lexus GS 2006,"3,146,000",169675 km,n/a
231,Lexus GX 2003 470 Off white,"5,565,000",Foreign Used,239713
232,Lexus ES 2008 Silver,"3,885,000",Foreign Used,85901
233,Lexus RX 330 AWD 2006 Gray,"3,848,000",Nigerian Used,127728
234,Lexus RX 350 2013 Black,"12,500,000",Foreign Used,219832
235,Lexus ES 2007 350 Black,"4,200,000",Foreign Used,89548
236,Lexus ES 2008 350 Silver,"3,640,000",Nigerian Used,97315
237,Lexus ES 2007 350 Black,"4,095,000",Foreign Used,348830
238,Lexus ES 2012 Gold,"7,280,000",Nigerian Used,81214
239,Lexus RX 350 2008 Black,"5,928,000",Foreign Used,169765
240,Lexus ES 2007 Silver,"3,885,000",Foreign Used,65060
241,Lexus GX 470 2003 Off white,"4,200,000",Nigerian Used,248845
242,Lexus ES 2007 Black,"3,588,000",Nigerian Used,106211
243,Lexus RX 2008 350 AWD Black,"4,680,000",Nigerian Used,142273
244,Lexus RX 2015 350 AWD Gold,"9,450,000",Nigerian Used,88745
245,Lexus ES 2007 Silver,"4,600,000",Foreign Used,157073
246,Lexus RX 2010 Blue,"8,610,000",Foreign Used,135819
247,Lexus ES 2007 350 Black,"4,200,000",Foreign Used,89548
248,Lexus IS 2011 Black,"3,700,000",Nigerian Used,222718
249,Lexus RX 330 2004 Black,"3,640,000",Nigerian Used,229786
250,Lexus IS 2006 250 AWD Black,"3,120,000",Nigerian Used,90235
251,Lexus RX 350 2017 White,"27,040,000",Foreign Used,41905
252,Lexus IS 250 2009 Black,"3,150,000",Nigerian Used,139072
253,Lexus RX 330 2006 Gray,"5,408,000",Foreign Used,119197
254,Lexus ES 350 2007 Black,"3,465,000",Nigerian Used,128248
255,Lexus RX 2007 Black,"5,460,000",Foreign Used,255839
256,Lexus RX 2010 350 Black,"9,880,000",Foreign Used,95486
257,Lexus ES 350 2008 Gold,"5,200,000",Foreign Used,206766
258,Lexus IS 250 Automatic 2010 Black,"4,725,000",Foreign Used,178027
259,Lexus RX 350 2007 Gold,"5,512,000",Foreign Used,298814
260,Lexus ES 2007 350 Black,"4,095,000",Foreign Used,348830
261,Lexus RX 350 2007 Blue,"5,928,000",Foreign Used,104138
262,Lexus IS 2008 250 Gray,"3,660,000",Foreign Used,73213
263,Lexus GS 2008 black,"3,706,000",191411 km,n/a
264,Lexus GX 460 Premium 2011 Gold,"14,040,000",Nigerian Used,105546
265,Lexus ES 350 2008 Black,"4,888,000",Foreign Used,155216
266,Lexus ES 2011 Silver,"6,552,000",Foreign Used,96621
267,Lexus ES 2008 350 Blue,"3,640,000",Nigerian Used,186699
268,Lexus GX 2014 Black,"23,920,000",Foreign Used,139592
269,Lexus ES 2011,"5,274,000",79740 km,n/a
270,Lexus RX 2015 350 AWD Silver,"15,600,000",Foreign Used,228013
271,Lexus IS 2009 Black,"4,500,000",Foreign Used,173307
272,Lexus IS 250 Automatic 2010 Black,"4,725,000",Foreign Used,178027
273,Lexus IS 2007 350 Silver,"4,368,000",Foreign Used,141782
274,Lexus GS 2006 Black,"3,675,000",Foreign Used,150872
275,Lexus ES 350 2010 Blue,"6,032,000",Foreign Used,193624
276,Lexus ES 2011 Silver,"6,552,000",Foreign Used,96621
277,Lexus ES 2005,"3,465,000",Foreign Used,n/a
278,Lexus IS 2008 gray,"3,818,000",72429 km,n/a
279,Lexus IS 2011 250 AWD Automatic White,"4,992,000",Foreign Used,137902
280,Lexus LS 2008 Gray,"4,725,000",Nigerian Used,224605
281,Lexus ES 350 2007 Black,"3,465,000",Nigerian Used,128248
282,Lexus RX 2001 300 4WD Gold,"3,150,000",Foreign Used,199731
283,Lexus ES 2009 350 White,"5,200,000",Foreign Used,246462
284,Lexus IS 2007 blue,"3,610,000",211824 km,n/a
285,Lexus ES 2009 350 White,"5,200,000",Foreign Used,246462
286,Lexus ES 2008 350 Red,"3,360,000",Nigerian Used,213189
287,Lexus RX 2007 350 Black,"5,200,000",Nigerian Used,156579
288,Lexus RX 2006 Blue,"4,160,000",Nigerian Used,157518
289,Lexus RX 330 4WD 2005 Silver,"5,720,000",Foreign Used,269971
290,Lexus RX 2010 Red,"9,048,000",Foreign Used,344424
291,Lexus ES 350 2007 Gray,"3,640,000",Nigerian Used,74514
292,Lexus RX 2002 Brown,"3,848,000",Foreign Used,119143
293,Lexus RX 350 2013 Black,"15,600,000",Foreign Used,115894
294,Lexus ES 2008 350 Gray,"4,160,000",Nigerian Used,271598
295,Lexus RX 2001 300 4WD Gold,"3,150,000",Foreign Used,199731
296,Lexus RX 2004 Green,"6,032,000",Foreign Used,250650
297,Lexus ES 2007 350 Silver,"4,410,000",Foreign Used,203492
298,Lexus RX 330 2004 Black,"4,515,000",Foreign Used,146152
299,Lexus GX 2006,"4,725,000",Nigerian Used,154378
300,Lexus RX 2010 Red,"9,048,000",Foreign Used,344424
301,Lexus ES 2007 Gold,"4,888,000",Foreign Used,49407
302,Lexus ES 330 2005 Gold,"3,536,000",Foreign Used,238874
303,Lexus IS 2007 250 Silver,"4,095,000",Foreign Used,110621
304,Lexus RX 350 2013 Black,"15,600,000",Foreign Used,115894
305,Lexus ES 2008 350 Black,"4,410,000",Foreign Used,169463
306,Lexus IS 2007 250 Red,"4,992,000",Foreign Used,198969
307,Lexus ES 350 2008 Silver,"3,640,000",Nigerian Used,280135
